用户名称,用户编号,时段(-1=全部),段号,负荷MW,报价(元/MWh)
临江钢铁,U1,22,1,150.0,800.00
临江钢铁,U1,22,2,50.0,600.00
临江钢铁,U1,23,1,150.0,800.00
临江钢铁,U1,23,2,50.0,600.00
临江钢铁,U1,24,1,150.0,800.00
临江钢铁,U1,24,2,50.0,600.00
临江钢铁,U1,25,1,150.0,800.00
临江钢铁,U1,25,2,50.0,600.00
临江钢铁,U1,26,1,150.0,800.00
临江钢铁,U1,26,2,50.0,600.00
临江钢铁,U1,27,1,150.0,800.00
临江钢铁,U1,27,2,50.0,600.00
临江钢铁,U1,28,1,250.0,850.00
临江钢铁,U1,28,2,80.0,650.00
临江钢铁,U1,29,1,250.0,850.00
临江钢铁,U1,29,2,80.0,650.00
临江钢铁,U1,30,1,250.0,850.00
临江钢铁,U1,30,2,80.0,650.00
临江钢铁,U1,31,1,250.0,850.00
临江钢铁,U1,31,2,80.0,650.00
临江钢铁,U1,32,1,250.0,850.00
临江钢铁,U1,32,2,80.0,650.00
临江钢铁,U1,33,1,250.0,850.00
临江钢铁,U1,33,2,80.0,650.00
临江钢铁,U1,34,1,250.0,850.00
临江钢铁,U1,34,2,80.0,650.00
临江钢铁,U1,35,1,250.0,850.00
临江钢铁,U1,35,2,80.0,650.00
临江钢铁,U1,36,1,250.0,850.00
临江钢铁,U1,36,2,80.0,650.00
临江钢铁,U1,37,1,250.0,850.00
临江钢铁,U1,37,2,80.0,650.00
临江钢铁,U1,38,1,250.0,850.00
临江钢铁,U1,38,2,80.0,650.00
临江钢铁,U1,39,1,250.0,850.00
临江钢铁,U1,39,2,80.0,650.00
临江钢铁,U1,40,1,250.0,850.00
临江钢铁,U1,40,2,80.0,650.00
临江钢铁,U1,41,1,250.0,850.00
临江钢铁,U1,41,2,80.0,650.00
临江钢铁,U1,42,1,250.0,850.00
临江钢铁,U1,42,2,80.0,650.00
临江钢铁,U1,43,1,250.0,850.00
临江钢铁,U1,43,2,80.0,650.00
临江钢铁,U1,44,1,250.0,850.00
临江钢铁,U1,44,2,80.0,650.00
临江钢铁,U1,45,1,250.0,850.00
临江钢铁,U1,45,2,80.0,650.00
临江钢铁,U1,46,1,250.0,850.00
临江钢铁,U1,46,2,80.0,650.00
临江钢铁,U1,47,1,250.0,850.00
临江钢铁,U1,47,2,80.0,650.00
临江钢铁,U1,48,1,250.0,850.00
临江钢铁,U1,48,2,80.0,650.00
临江钢铁,U1,49,1,250.0,850.00
临江钢铁,U1,49,2,80.0,650.00
临江钢铁,U1,50,1,250.0,850.00
临江钢铁,U1,50,2,80.0,650.00
临江钢铁,U1,51,1,250.0,850.00
临江钢铁,U1,51,2,80.0,650.00
临江钢铁,U1,52,1,250.0,850.00
临江钢铁,U1,52,2,80.0,650.00
临江钢铁,U1,53,1,250.0,850.00
临江钢铁,U1,53,2,80.0,650.00
临江钢铁,U1,54,1,250.0,850.00
临江钢铁,U1,54,2,80.0,650.00
临江钢铁,U1,55,1,250.0,850.00
临江钢铁,U1,55,2,80.0,650.00
临江钢铁,U1,56,1,250.0,850.00
临江钢铁,U1,56,2,80.0,650.00
临江钢铁,U1,57,1,250.0,850.00
临江钢铁,U1,57,2,80.0,650.00
临江钢铁,U1,58,1,250.0,850.00
临江钢铁,U1,58,2,80.0,650.00
临江钢铁,U1,59,1,250.0,850.00
临江钢铁,U1,59,2,80.0,650.00
临江钢铁,U1,60,1,250.0,850.00
临江钢铁,U1,60,2,80.0,650.00
临江钢铁,U1,61,1,250.0,850.00
临江钢铁,U1,61,2,80.0,650.00
临江钢铁,U1,62,1,250.0,850.00
临江钢铁,U1,62,2,80.0,650.00
临江钢铁,U1,63,1,250.0,850.00
临江钢铁,U1,63,2,80.0,650.00
临江钢铁,U1,64,1,250.0,850.00
临江钢铁,U1,64,2,80.0,650.00
临江钢铁,U1,65,1,250.0,850.00
临江钢铁,U1,65,2,80.0,650.00
临江钢铁,U1,66,1,250.0,850.00
临江钢铁,U1,66,2,80.0,650.00
临江钢铁,U1,67,1,250.0,850.00
临江钢铁,U1,67,2,80.0,650.00
临江钢铁,U1,68,1,250.0,850.00
临江钢铁,U1,68,2,80.0,650.00
临江钢铁,U1,69,1,250.0,850.00
临江钢铁,U1,69,2,80.0,650.00
临江钢铁,U1,70,1,250.0,850.00
临江钢铁,U1,70,2,80.0,650.00
临江钢铁,U1,71,1,250.0,850.00
临江钢铁,U1,71,2,80.0,650.00
临江钢铁,U1,72,1,350.0,900.00
临江钢铁,U1,72,2,100.0,700.00
临江钢铁,U1,73,1,350.0,900.00
临江钢铁,U1,73,2,100.0,700.00
临江钢铁,U1,74,1,350.0,900.00
临江钢铁,U1,74,2,100.0,700.00
临江钢铁,U1,75,1,350.0,900.00
临江钢铁,U1,75,2,100.0,700.00
临江钢铁,U1,76,1,350.0,900.00
临江钢铁,U1,76,2,100.0,700.00
临江钢铁,U1,77,1,350.0,900.00
临江钢铁,U1,77,2,100.0,700.00
临江钢铁,U1,78,1,350.0,900.00
临江钢铁,U1,78,2,100.0,700.00
临江钢铁,U1,79,1,350.0,900.00
临江钢铁,U1,79,2,100.0,700.00
临江钢铁,U1,80,1,350.0,900.00
临江钢铁,U1,80,2,100.0,700.00
临江钢铁,U1,81,1,350.0,900.00
临江钢铁,U1,81,2,100.0,700.00
临江钢铁,U1,82,1,350.0,900.00
临江钢铁,U1,82,2,100.0,700.00
临江钢铁,U1,83,1,350.0,900.00
临江钢铁,U1,83,2,100.0,700.00
临江钢铁,U1,84,1,350.0,900.00
临江钢铁,U1,84,2,100.0,700.00
临江钢铁,U1,85,1,350.0,900.00
临江钢铁,U1,85,2,100.0,700.00
临江钢铁,U1,86,1,350.0,900.00
临江钢铁,U1,86,2,100.0,700.00
临江钢铁,U1,87,1,350.0,900.00
临江钢铁,U1,87,2,100.0,700.00
临江钢铁,U1,88,1,250.0,850.00
临江钢铁,U1,88,2,80.0,650.00
临江钢铁,U1,89,1,250.0,850.00
临江钢铁,U1,89,2,80.0,650.00
临江钢铁,U1,90,1,250.0,850.00
临江钢铁,U1,90,2,80.0,650.00
临江钢铁,U1,91,1,250.0,850.00
临江钢铁,U1,91,2,80.0,650.00
临江钢铁,U1,92,1,150.0,800.00
临江钢铁,U1,92,2,50.0,600.00
临江钢铁,U1,93,1,150.0,800.00
临江钢铁,U1,93,2,50.0,600.00
临江钢铁,U1,94,1,150.0,800.00
临江钢铁,U1,94,2,50.0,600.00
临江钢铁,U1,95,1,150.0,800.00
临江钢铁,U1,95,2,50.0,600.00
星洲商业,U2,0,1,80.0,700.00
星洲商业,U2,1,1,80.0,700.00
星洲商业,U2,2,1,80.0,700.00
星洲商业,U2,3,1,80.0,700.00
星洲商业,U2,4,1,80.0,700.00
星洲商业,U2,5,1,80.0,700.00
星洲商业,U2,6,1,80.0,700.00
星洲商业,U2,7,1,80.0,700.00
星洲商业,U2,8,1,80.0,700.00
星洲商业,U2,9,1,80.0,700.00
星洲商业,U2,10,1,80.0,700.00
星洲商业,U2,11,1,80.0,700.00
星洲商业,U2,12,1,80.0,700.00
星洲商业,U2,13,1,80.0,700.00
星洲商业,U2,14,1,80.0,700.00
星洲商业,U2,15,1,80.0,700.00
星洲商业,U2,16,1,80.0,700.00
星洲商业,U2,17,1,80.0,700.00
星洲商业,U2,18,1,80.0,700.00
星洲商业,U2,19,1,80.0,700.00
星洲商业,U2,20,1,80.0,700.00
星洲商业,U2,21,1,80.0,700.00
星洲商业,U2,22,1,80.0,700.00
星洲商业,U2,23,1,80.0,700.00
星洲商业,U2,24,1,80.0,700.00
星洲商业,U2,25,1,80.0,700.00
星洲商业,U2,26,1,80.0,700.00
星洲商业,U2,27,1,80.0,700.00
星洲商业,U2,28,1,100.0,780.00
星洲商业,U2,28,2,40.0,600.00
星洲商业,U2,29,1,100.0,780.00
星洲商业,U2,29,2,40.0,600.00
星洲商业,U2,30,1,100.0,780.00
星洲商业,U2,30,2,40.0,600.00
星洲商业,U2,31,1,100.0,780.00
星洲商业,U2,31,2,40.0,600.00
星洲商业,U2,32,1,100.0,780.00
星洲商业,U2,32,2,40.0,600.00
星洲商业,U2,33,1,100.0,780.00
星洲商业,U2,33,2,40.0,600.00
星洲商业,U2,34,1,100.0,780.00
星洲商业,U2,34,2,40.0,600.00
星洲商业,U2,35,1,100.0,780.00
星洲商业,U2,35,2,40.0,600.00
星洲商业,U2,36,1,100.0,780.00
星洲商业,U2,36,2,40.0,600.00
星洲商业,U2,37,1,100.0,780.00
星洲商业,U2,37,2,40.0,600.00
星洲商业,U2,38,1,100.0,780.00
星洲商业,U2,38,2,40.0,600.00
星洲商业,U2,39,1,100.0,780.00
星洲商业,U2,39,2,40.0,600.00
星洲商业,U2,40,1,100.0,780.00
星洲商业,U2,40,2,40.0,600.00
星洲商业,U2,41,1,100.0,780.00
星洲商业,U2,41,2,40.0,600.00
星洲商业,U2,42,1,100.0,780.00
星洲商业,U2,42,2,40.0,600.00
星洲商业,U2,43,1,100.0,780.00
星洲商业,U2,43,2,40.0,600.00
星洲商业,U2,44,1,100.0,780.00
星洲商业,U2,44,2,40.0,600.00
星洲商业,U2,45,1,100.0,780.00
星洲商业,U2,45,2,40.0,600.00
星洲商业,U2,46,1,100.0,780.00
星洲商业,U2,46,2,40.0,600.00
星洲商业,U2,47,1,100.0,780.00
星洲商业,U2,47,2,40.0,600.00
星洲商业,U2,48,1,100.0,780.00
星洲商业,U2,48,2,40.0,600.00
星洲商业,U2,49,1,100.0,780.00
星洲商业,U2,49,2,40.0,600.00
星洲商业,U2,50,1,100.0,780.00
星洲商业,U2,50,2,40.0,600.00
星洲商业,U2,51,1,100.0,780.00
星洲商业,U2,51,2,40.0,600.00
星洲商业,U2,52,1,100.0,780.00
星洲商业,U2,52,2,40.0,600.00
星洲商业,U2,53,1,100.0,780.00
星洲商业,U2,53,2,40.0,600.00
星洲商业,U2,54,1,100.0,780.00
星洲商业,U2,54,2,40.0,600.00
星洲商业,U2,55,1,100.0,780.00
星洲商业,U2,55,2,40.0,600.00
星洲商业,U2,56,1,100.0,780.00
星洲商业,U2,56,2,40.0,600.00
星洲商业,U2,57,1,100.0,780.00
星洲商业,U2,57,2,40.0,600.00
星洲商业,U2,58,1,100.0,780.00
星洲商业,U2,58,2,40.0,600.00
星洲商业,U2,59,1,100.0,780.00
星洲商业,U2,59,2,40.0,600.00
星洲商业,U2,60,1,100.0,780.00
星洲商业,U2,60,2,40.0,600.00
星洲商业,U2,61,1,100.0,780.00
星洲商业,U2,61,2,40.0,600.00
星洲商业,U2,62,1,100.0,780.00
星洲商业,U2,62,2,40.0,600.00
星洲商业,U2,63,1,100.0,780.00
星洲商业,U2,63,2,40.0,600.00
星洲商业,U2,64,1,100.0,780.00
星洲商业,U2,64,2,40.0,600.00
星洲商业,U2,65,1,100.0,780.00
星洲商业,U2,65,2,40.0,600.00
星洲商业,U2,66,1,100.0,780.00
星洲商业,U2,66,2,40.0,600.00
星洲商业,U2,67,1,100.0,780.00
星洲商业,U2,67,2,40.0,600.00
星洲商业,U2,68,1,100.0,780.00
星洲商业,U2,68,2,40.0,600.00
星洲商业,U2,69,1,100.0,780.00
星洲商业,U2,69,2,40.0,600.00
星洲商业,U2,70,1,100.0,780.00
星洲商业,U2,70,2,40.0,600.00
星洲商业,U2,71,1,100.0,780.00
星洲商业,U2,71,2,40.0,600.00
星洲商业,U2,72,1,150.0,880.00
星洲商业,U2,72,2,50.0,650.00
星洲商业,U2,73,1,150.0,880.00
星洲商业,U2,73,2,50.0,650.00
星洲商业,U2,74,1,150.0,880.00
星洲商业,U2,74,2,50.0,650.00
星洲商业,U2,75,1,150.0,880.00
星洲商业,U2,75,2,50.0,650.00
星洲商业,U2,76,1,150.0,880.00
星洲商业,U2,76,2,50.0,650.00
星洲商业,U2,77,1,150.0,880.00
星洲商业,U2,77,2,50.0,650.00
星洲商业,U2,78,1,150.0,880.00
星洲商业,U2,78,2,50.0,650.00
星洲商业,U2,79,1,150.0,880.00
星洲商业,U2,79,2,50.0,650.00
星洲商业,U2,80,1,150.0,880.00
星洲商业,U2,80,2,50.0,650.00
星洲商业,U2,81,1,150.0,880.00
星洲商业,U2,81,2,50.0,650.00
星洲商业,U2,82,1,150.0,880.00
星洲商业,U2,82,2,50.0,650.00
星洲商业,U2,83,1,150.0,880.00
星洲商业,U2,83,2,50.0,650.00
星洲商业,U2,84,1,150.0,880.00
星洲商业,U2,84,2,50.0,650.00
星洲商业,U2,85,1,150.0,880.00
星洲商业,U2,85,2,50.0,650.00
星洲商业,U2,86,1,150.0,880.00
星洲商业,U2,86,2,50.0,650.00
星洲商业,U2,87,1,150.0,880.00
星洲商业,U2,87,2,50.0,650.00
星洲商业,U2,88,1,100.0,780.00
星洲商业,U2,88,2,40.0,600.00
星洲商业,U2,89,1,100.0,780.00
星洲商业,U2,89,2,40.0,600.00
星洲商业,U2,90,1,100.0,780.00
星洲商业,U2,90,2,40.0,600.00
星洲商业,U2,91,1,100.0,780.00
星洲商业,U2,91,2,40.0,600.00
星洲商业,U2,92,1,80.0,700.00
星洲商业,U2,93,1,80.0,700.00
星洲商业,U2,94,1,80.0,700.00
星洲商业,U2,95,1,80.0,700.00
