时段,时间,出清价(元/MWh),出清量MW,状态,清流电厂 #1水电 中标MW,望江电厂 #2火电 中标MW,云峰电厂 #3燃气 中标MW,临江钢铁 U1 中标MW,星洲商业 U2 中标MW
36,09:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
37,09:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
38,09:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
39,09:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
40,10:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
41,10:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
42,10:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
43,10:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
44,11:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
45,11:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
46,11:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
47,11:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
48,12:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
49,12:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
50,12:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
51,12:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
52,13:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
53,13:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
54,13:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
55,13:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
56,14:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
57,14:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
58,14:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
59,14:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
60,15:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
61,15:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
62,15:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
63,15:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
64,16:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
65,16:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
66,16:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
67,16:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
68,17:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
69,17:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
70,17:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
71,17:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
72,18:00,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
73,18:15,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
74,18:30,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
75,18:45,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
76,19:00,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
77,19:15,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
78,19:30,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
79,19:45,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
80,20:00,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
81,20:15,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
82,20:30,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
83,20:45,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
84,21:00,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
85,21:15,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
86,21:30,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
87,21:45,620.00,650.00,成交,300.00,300.00,50.00,450.00,200.00
88,22:00,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
89,22:15,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
90,22:30,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
91,22:45,480.00,470.00,成交,300.00,170.00,0.00,330.00,140.00
92,23:00,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
93,23:15,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
94,23:30,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
95,23:45,330.00,280.00,成交,280.00,0.00,0.00,200.00,80.00
